1,1,"1,111,111,111,111.00",2014,25000
2,1,"222,222,222,222.00",2015,26000
3,2,"333,333,333,333,333.00",2015,18000
4,2,"444,444,444.00",2016,18900
5,3,"5,555,555,555,555.00",2014,24600
6,3,"66,666,666,666.00",2015,27300
7,4,"777,777,777,777.00",2016,28000
8,4,"88,888,888,888,888.00",2014,32000
9,5,"9,999,999,999,999.00",2015,16500
10,5,"123,123,123,123.00",2015,16950
11,6,"234,234,234,234.00",2016,29900
12,6,"345,345,345,345.00",2015,34000
13,7,"456,456,456,456.00",2016,35500
14,7,"567,567,567,567.00",2016,37900
15,8,"678,678,678,678.00",2014,39900
16,8,"333,444,555,666.00",2016,42500
17,9,"5,676,756,464,546,660.00",2016,27500
18,9,"888,999,777,555.00",2015,26900
19,10,"987,654,321.00",2014,18900
20,10,"7,777,777,666,666,650.00",2016,22000
21,11,"99,999,888,887,777.00",2016,32500
22,11,"66,677,776,667,777.00",2015,27500
23,12,"22,222,111,111,145,500.00",2014,24500
24,12,"45,455,554,455,555.00",2015,27900
25,13,"6,666,666,555,533,330.00",2016,25000
26,13,"7,777,770,000,000,000.00",2016,26500
27,14,"90,909,090,909.00",2016,19000
28,14,"3,147,765,432.00",2015,18500
29,15,"6,666,666,673,333,330.00",2016,32000
30,15,"2,223,334,445,552,110.00",2014,28000
31,16,"445,544,334,455.00",2016,41000
32,16,"332,211,334,455.00",2014,39500
33,2,"778,866,445,566.00",2016,21000
34,7,"999,888,777,666,555.00",2016,36900
35,9,"444,443,333,322,222.00",2014,29000
36,11,"5,432,154,321.00",2015,38500
