1293,10401
1293,10427
1293,10422
1293,10404
1293,10504
1293,10477
1293,10505
1293,10405
1293,10524
1293,10440
1293,10474
1293,10411
1293,10522
1293,10506
1293,10523
1293,10497
1293,10487
1293,10512
1293,10394
1293,10496
1293,10533
1293,10492
1294,10436
1294,10464
1294,10435
1294,10445
1294,10426
1294,10489
1294,10442
1294,10462
1294,10403
1294,10420
1294,10414
1294,10473
1294,10517
1294,10490
1294,10476
1294,10478
1294,10498
1294,10475
1294,10453
1294,10447
1294,10419
1295,10527
1295,10408
1295,10395
1295,10531
1295,10486
1295,10391
1295,10454
1295,10439
1295,10525
1295,10415
1295,10467
1295,10535
1295,10469
1295,10510
1295,10471
1295,10513
1295,10431
1295,10416
1295,10463
1295,10484
1295,10482
1295,10425
1296,10532
1296,10452
1296,10472
1296,10529
1296,10406
1296,10450
1296,10421
1296,10508
1296,10412
1296,10424
1296,10456
1296,10459
1296,10428
1296,10448
1296,10387
1296,10449
1296,10396
1296,10410
1296,10521
1296,10446
1296,10515
1296,10526
1297,10493
1297,10503
1297,10402
1297,10499
1297,10480
1297,10502
1297,10437
1297,10388
1297,10491
1297,10485
1297,10443
1297,10495
1297,10430
1297,10407
1297,10392
1297,10397
1297,10434
1297,10507
1297,10432
1297,10530
1297,10423
1298,10509
1298,10461
1298,10516
1298,10458
1298,10534
1298,10409
1298,10511
1298,10444
1298,10481
1298,10520
1298,10393
1298,10389
1298,10518
1298,10457
1298,10455
1298,10488
1298,10479
1298,10400
1298,10465
1298,10519
1299,10500
1299,10451
1299,10494
1299,10468
1299,10460
1299,10501
1299,10441
1299,10514
1299,10470
1299,10399
1299,10466
1299,10429
1299,10398
1299,10433
1299,10528
1299,10418
1299,10413
1299,10438
1299,10417
1299,10390
1299,10483
1300,10392
1300,10534
1300,10464
1300,10476
1300,10519
1300,10459
1300,10434
1300,10390
1300,10393
1300,10419
1300,10483
1300,10433
1300,10490
1300,10500
1300,10465
1300,10511
1300,10470
1300,10424
1300,10480
1300,10414
1300,10467
1301,10524
1301,10497
1301,10394
1301,10482
1301,10446
1301,10531
1301,10425
1301,10525
1301,10397
1301,10406
1301,10430
1301,10412
1301,10521
1301,10408
1301,10507
1301,10398
1301,10421
1301,10399
1301,10488
1301,10444
1301,10495
1301,10506
1302,10503
1302,10522
1302,10418
1302,10502
1302,10504
1302,10450
1302,10400
1302,10477
1302,10462
1302,10532
1302,10438
1302,10473
1302,10512
1302,10441
1302,10407
1302,10401
1302,10501
1302,10514
1302,10485
1302,10426
1302,10404
1302,10478
1303,10388
1303,10535
1303,10431
