1293,14,1,373,1
1294,14,2,373,1
1295,14,3,373,1
1296,14,4,373,1
1297,14,5,373,1
1298,14,6,373,1
1299,14,7,373,1
1300,15,1,374,2
1301,15,2,374,2
1302,15,3,374,2
1303,15,4,374,2
1304,15,5,374,2
1305,15,6,374,2
1306,15,7,374,2
1307,16,1,375,3
1308,16,2,375,3
1309,16,3,375,3
1310,16,4,375,3
1311,16,5,375,3
1312,16,6,375,3
1313,16,7,375,3
1314,17,1,376,4
1315,17,2,376,4
1316,17,3,376,4
1317,17,4,376,4
1318,17,5,376,4
1319,17,6,376,4
1320,17,7,376,4
1321,18,1,377,5
1322,18,2,377,5
1323,18,3,377,5
1324,18,4,377,5
1325,18,5,377,5
1326,18,6,377,5
1327,18,7,377,5
1328,19,2,378,6
1329,19,3,378,6
1330,19,4,378,6
1331,19,5,378,6
1332,19,6,378,6
1333,19,7,378,6
1334,20,1,379,7
1335,20,2,379,7
1336,20,3,379,7
1337,20,4,379,7
1338,20,5,379,7
1339,20,6,379,7
1340,20,7,379,7
1341,21,1,380,8
1342,21,2,380,8
1343,21,3,380,8
1344,21,4,380,8
1345,21,5,380,8
1346,21,6,380,8
1347,21,7,380,8
1348,22,1,381,9
1349,22,2,381,9
1350,22,3,381,9
1351,22,4,381,9
1352,22,5,381,9
1353,22,6,381,9
1354,22,7,381,9
1355,23,1,382,10
1356,23,2,382,10
1357,23,3,382,10
1358,23,4,382,10
1359,23,5,382,10
1360,23,6,382,10
1361,23,7,382,10
1362,24,1,383,11
1363,24,2,383,11
1364,24,3,383,11
1365,24,4,383,11
1366,24,5,383,11
1367,24,6,383,11
1368,24,7,383,11
1369,25,1,384,12
1370,25,2,384,12
1371,25,3,384,12
1372,25,4,384,12
1373,25,5,384,12
1374,25,6,384,12
1375,25,7,384,12
1376,26,1,385,13
1377,26,2,385,13
1378,26,3,385,13
1379,26,4,385,13
1380,26,5,385,13
1381,26,6,385,13
1382,26,7,385,13
1383,27,1,386,14
1384,27,2,386,14
1385,27,3,386,14
1386,27,4,386,14
1387,27,5,386,14
1388,27,6,386,14
1389,27,7,386,14
1390,28,1,387,15
1391,28,2,387,15
1392,28,3,387,15
1393,28,4,387,15
1394,28,5,387,15
1395,28,6,387,15
1396,28,7,387,15
1397,29,1,388,16
1398,29,2,388,16
1399,29,3,388,16
1400,29,4,388,16
1401,29,5,388,16
1402,29,6,388,16
1403,29,7,388,16
1404,30,1,389,17
1405,30,2,389,17
1406,30,3,389,17
1407,30,4,389,17
1408,30,5,389,17
1409,30,6,389,17
1410,30,7,389,17
1411,31,1,390,18
1412,31,2,390,18
1413,31,3,390,18
1414,31,4,390,18
1415,31,5,390,18
1416,31,6,390,18
1417,31,7,390,18
1418,32,1,391,19
1419,32,2,391,19
1420,32,3,391,19
1421,33,5,391,19
1422,33,6,391,19
1423,33,7,391,19
1424,34,1,392,20
1425,34,2,392,20
1426,34,3,392,20
1427,34,4,392,20
1428,34,5,392,20
1429,35,1,393,21
1430,35,2,393,21
1431,35,3,393,21
1432,35,4,393,21
1433,35,5,393,21
1434,35,6,393,21
1435,35,7,393,21
1436,36,1,394,22
1437,36,2,394,22
1438,36,3,394,22
1439,36,4,394,22
1440,36,5,394,22
1441,36,6,394,22
1442,36,7,394,22
1443,37,1,395,23
1444,37,2,395,23
1445,37,3,395,23
1446,37,4,395,23
